label,tweet
NEUTRAL,So should you be for the certificate of RahulGandhi and SoniaGandhiFC
NEUTRAL,#LokSabhaElections2019 RahulGandhi priyankagandhi irobertvadra JMScindia divyaspandana
NEUTRAL,RahulGandhi PMOIndia Swamy39 RSSorg BJP4India
NEUTRAL,Real secularism BDUTT sagarikaghose sardesairajdeep RahulGandhi
NEUTRAL,#O P S
NEUTRAL,httpsyoutubeGReGYATHB8
NEUTRAL,Learning
NEUTRAL,RRRRAAAAAHHHHEEELL PPPPAAAGGGAAALLLL
POSITIVE,Maybe educate yourself further and dont put out your ignorance in display He clearly mentions the political party Indian Union Muslim League is a green virus get a grip and stop diving in head first into cluelessness
NEGATIVE,Haha you clearly seem to be obsessed with religious hatred since you brought it up out of the blue for no sane reason When you have nothing to say about the corrupt fake Gandhis just throw in religious hatred peppered with ignorance and superciliousness Get help Bye
NEUTRAL,Hamare yaha ek khawat phale ghar ke dewata ka puja hota tab bhar ke Aap to samjh gaye hoge uske ke baad bhar ke dewata puja hota hai
POSITIVE,Your bias and Hinduphobia is disgusting and ignorant Refuse to engage any further with a religion obsessed fanatic Enjoy the divide you seem to proudly promote we are happy with our development based agenda Cheers
NEUTRAL,Pura Hindustan me macha sour Rahul Gandhi PM ones more RahulGandhi priyankagandhi priyanka19 manish tiwari INCIndia ahmedpatel
NEGATIVE,Yeh log desh nai chala rahe These ppl are not in any constitutional post and I dont care two hoots for these MPs I demand answers from the elected govt n the prime minister of the country His job is not to get praised but answer on his incapabilities
NEGATIVE,You clearly seem clueless about the trusted fake Gandhis so do inform yourself before indulging in name calling others of being ill informed Bigots are the ones who indulge in appeasement politics on basis of religion not ones driving Sabka Saath Sabka Vikas
NEUTRAL,RahulGandhi narendramodi
NEGATIVE,Must be some moron have muted him since ages
POSITIVE,Not to mention all the properties and land scams priyankagandhi vadra and Robert vadra have pulled off Are those their homes or houses Lolz Take care of yourself good night
POSITIVE,They have 3 houses in Delhi one for each living on taxpayer and khandaani loot money Also every citizen has a right to vote as they want to and also voice out the opinion even if they are from Mumbai and Delhi Name calling is not going to shut anyone down
POSITIVE,Lolz what rhetorics My GK is pretty safe and sound unlike yours who talks gibberish about homes and houses as a weak defence for the deep rooted corruption and non inclusive development by the fake Gandhis Have a lovely hollow life Good night
POSITIVE,As for a typo on my part nice of you to jump on it I clearly meant priyankagandhi vadra who should give up her house funded for by honest taxpayers and move to her home in Amethi as you rightly pointed out
POSITIVE,Lolz priyankagandhi vadra very much lives in a govt bungalow Please do elaborate in what capacity As for 10 JP Sonia Gandhi has occupied it for 2 decades mate and the GOI has had to write off the lavish property since the Gandhi family assumes all GOI property as their own
NEUTRAL,Ismai koi do ray nahi
POSITIVE,And since you know RahulGandhi and priyankagandhi homes so well you should definitely demand of them to develop their home at least after all these decades All the best
NEUTRAL,Had Imran Khan taken Rahul Gandhi or Congress partys name instead of BJPs these bhakt Chowkidars would have blown their asses by shouting CONGRESS MURDABAAD amp ANTINATIONAL CONGRESS but ab to khud papa ka naam Lia hai chup chap sehna padega inko at Iffco Colony
POSITIVE,Maternal Greatgrandpa of grandson u are accusing of beneficiary of corrupt money was 1st CM of Bharath to ensure property rights to women 20 yrs later SC ensured same for all Bharath Fun to rant on SM dont teach your kids wrong history Research Internet cheapest in Bharath
POSITIVE,In parliament debate we saw you was busy in blinking eyes Why you did not debate in the house if you was so much interested in debate
POSITIVE,Learn to respect Chowkidar
NEGATIVE,It is my firm conviction that the continuance of government led by narendramodi ji is the need of the hour Besides when challenges like terrorism are before all of us we need a #MajbootSarkar not a #MajboorSarkar #NamoAgain
POSITIVE,You do realise each of their homes are in New Delhifunded by our taxpayer money for no reason legitimate reasonBut good for youyou seem to know RahulGandhi amp priyankagandhi personallyMaybe they will spare a wee bit of personal wealth to develop Amethi on your request
POSITIVE,Vote to be #Congress NakulKNath Win to in Member of Parliment to #Chhindwara BeingSalmanKhan OfficeOfKNath RahulGandhi INCMP INCIndia priyankagandhi #AbkiBaarCongressSarkar
NEUTRAL,yadavakhilesh Mayawati RahulGandhi thewirehindi samajwadiparty ANI PMOIndia ravishndtv abhisarsharma myogiadityanath dilipmandal kpmaurya1 ramapatishastri OmPrakashRajbh6
POSITIVE,In Congress karyakarta trying to save a dynasty of Gandhi familyRahulGandhi priyankagandhi Whereas in BJP4India Karyakarta trying to save our country from #corruption and nepotism #AayegaTohModiHi amitmalviya dpradhanbjp
POSITIVE,RahulGandhi #Stupiditypersonified Rahul celebrating that SC has accepted that there was corruption in Rafale is just as stupid like Rahul Gandhi amp Sonia Gandhi claiming that we are not guilty in the NJL Scam hence we got bail
NEUTRAL,Par Gogoi bhi toh piddi hai bhonsdiwala
POSITIVE,Trotting the #Rafale linehe shouldve learnt some geometrydid he reallyIts tempting to challenge the oddbod RahulGandhi to a sub junior linedrawing competition Would he be able to draw Two Parallel Lines correctly without hinthelptheft one wonders #offLineWeirdo
POSITIVE,OfficialUrmila RahulGandhi AshokChavanINC milinddeora Received tremendous support during a rally in Kandivali East We stand together We fight together We will win together THANK YOU TO ALL Jai Hind #AapliMumbaichiMulagi
NEGATIVE,Result ke bad har kar dhayavad karna
POSITIVE,Yes
POSITIVE,Do you think people of India are fool when people like you and looters congis couldnt do anything to harm the image of Modi tried underhand deal with Imaran No one in the world believe Pakistani but corrupt like you and congis always have a very good tuning Whats the deal
POSITIVE,Are you sure Dont joke bro
POSITIVE,Which affection you are talking about Every one requesting to the indian public to do not make another modi #ModiNeverAgain #ModiFailed RahulGandhi #RahulForBehtarBharat
POSITIVE,Yea bro exaclty for better India vote for modiji
NEGATIVE,Look how much scared Pappu Chor RahulGandhi is of smritiirani that he had 2 bring his corrupt scam ridden fake family with him #Amethi
NEGATIVE,#PoshanAaharScam Pappu Chor RahulGandhi amp corrupt scam ridden INCIndia loot money meant 4 d poor amp pregnant women Shameless Pappu Chor how much low can u go Lies abuses amp loots #ModiOnceMore
NEUTRAL,These are 21st century politicians
NEGATIVE,This is just the beginning Picture toh abhi baaki hai mere dost Just wait and watch how BJP4India is getting humiliated CongressAICC
NEGATIVE,Sir modi ji k tim itni aarthik stiti krab hue h pucho mt Kisaan mar ra h itni buri halat hue h Gr ki situation itni krab hogi modi g k time Itni low situation aj tk nae hue sir Sir pls do something
NEGATIVE,What is BJP leader poonammahajan doing with absconding billion dollar fraudster Niravmodi1 in UK Is she talking on Bharat vikas from the looted money narendramodi CongressAICC RahulGandhi khushsundar yasminsana11 divyaarorafd MirAliAsgar arshadsyedINC JAslamBasha
POSITIVE,RahulGandhi is the true anti national #AugustaWestlandScam #BharatBoleModiModi
POSITIVE,I wonder what we are celebrating Rahul ji are you feeling vindicated or we are celebrating that Modi is also the same as congress Lets focus on the agenda of Jobs and fixing the country
NEUTRAL,Beware Rahul Gandhi#Jackal is on the prowl
NEUTRAL,#AyegaTohModiHi
NEUTRAL,Pura duniya janta h Pakistan narendramodi ji se kitna khof me h Ysaa to nahe ki ya sare sajess INCIndia or ape ki h Ye bat pura Hindustan janta h tum jampk ke politician Hindustan klea ky manssa rakhte ho
POSITIVE,Joke accha hai aur wo dar bhi
NEUTRAL,Can RahulGandhi debate on this
