id,label,tweet,tidy_tweet
0,,So should you be for the certificate of RahulGandhi and SoniaGandhiFC,should you for the certif rahulgandhi and soniagandhifc
1,,#LokSabhaElections2019 RahulGandhi priyankagandhi irobertvadra JMScindia divyaspandana,#loksabhaelect rahulgandhi priyankagandhi irobertvadra jmscindia divyaspandana
2,,RahulGandhi PMOIndia Swamy39 RSSorg BJP4India,rahulgandhi pmoindia swami rssorg bjp india
3,,Real secularism BDUTT sagarikaghose sardesairajdeep RahulGandhi,real secular bdutt sagarikaghos sardesairajdeep rahulgandhi
4,,#O P S,
5,,httpsyoutubeGReGYATHB8,httpsyoutubegregyathb
6,,Learning,learn
7,,RRRRAAAAAHHHHEEELL PPPPAAAGGGAAALLLL,rrrraaaaahhhheeel ppppaaagggaaalll
8,,Maybe educate yourself further and dont put out your ignorance in display He clearly mentions the political party Indian Union Muslim League is a green virus get a grip and stop diving in head first into cluelessness,mayb educ yourself further and dont put out your ignor display clearli mention the polit parti indian union muslim leagu green viru get grip and stop dive head first into clueless
9,,Haha you clearly seem to be obsessed with religious hatred since you brought it up out of the blue for no sane reason When you have nothing to say about the corrupt fake Gandhis just throw in religious hatred peppered with ignorance and superciliousness Get help Bye,haha you clearli seem obsess with religi hatr sinc you brought out the blue for sane reason when you have noth say about the corrupt fake gandhi just throw religi hatr pepper with ignor and supercili get help bye
10,,Hamare yaha ek khawat phale ghar ke dewata ka puja hota tab bhar ke Aap to samjh gaye hoge uske ke baad bhar ke dewata puja hota hai,hamar yaha khawat phale ghar dewata puja hota tab bhar aap samjh gay hoge usk baad bhar dewata puja hota hai
11,,Your bias and Hinduphobia is disgusting and ignorant Refuse to engage any further with a religion obsessed fanatic Enjoy the divide you seem to proudly promote we are happy with our development based agenda Cheers,your bia and hinduphobia disgust and ignor refus engag ani further with religion obsess fanat enjoy the divid you seem proudli promot are happi with our develop base agenda cheer
12,,Pura Hindustan me macha sour Rahul Gandhi PM ones more RahulGandhi priyankagandhi priyanka19 manish tiwari INCIndia ahmedpatel,pura hindustan macha sour rahul gandhi one more rahulgandhi priyankagandhi priyanka manish tiwari incindia ahmedpatel
13,,Yeh log desh nai chala rahe These ppl are not in any constitutional post and I dont care two hoots for these MPs I demand answers from the elected govt n the prime minister of the country His job is not to get praised but answer on his incapabilities,yeh log desh nai chala rahe these ppl are not ani constitut post and dont care two hoot for these mp demand answer from the elect govt the prime minist the countri hi job not get prais but answer hi incap
14,,You clearly seem clueless about the trusted fake Gandhis so do inform yourself before indulging in name calling others of being ill informed Bigots are the ones who indulge in appeasement politics on basis of religion not ones driving Sabka Saath Sabka Vikas,you clearli seem clueless about the trust fake gandhi inform yourself befor indulg name call other be ill inform bigot are the one who indulg appeas polit basi religion not one drive sabka saath sabka vika
15,,RahulGandhi narendramodi,rahulgandhi narendramodi
16,,Must be some moron have muted him since ages,must some moron have mute him sinc age
17,,Not to mention all the properties and land scams priyankagandhi vadra and Robert vadra have pulled off Are those their homes or houses Lolz Take care of yourself good night,not mention all the properti and land scam priyankagandhi vadra and robert vadra have pull off are those their home hous lolz take care yourself good night
18,,They have 3 houses in Delhi one for each living on taxpayer and khandaani loot money Also every citizen has a right to vote as they want to and also voice out the opinion even if they are from Mumbai and Delhi Name calling is not going to shut anyone down,they have hous delhi one for each live taxpay and khandaani loot money also everi citizen ha right vote they want and also voic out the opinion even they are from mumbai and delhi name call not go shut anyon down
19,,Lolz what rhetorics My GK is pretty safe and sound unlike yours who talks gibberish about homes and houses as a weak defence for the deep rooted corruption and non inclusive development by the fake Gandhis Have a lovely hollow life Good night,lolz what rhetor pretti safe and sound unlik your who talk gibberish about home and hous weak defenc for the deep root corrupt and non inclus develop the fake gandhi have love hollow life good night
20,,As for a typo on my part nice of you to jump on it I clearly meant priyankagandhi vadra who should give up her house funded for by honest taxpayers and move to her home in Amethi as you rightly pointed out,for typo part nice you jump clearli meant priyankagandhi vadra who should give her hous fund for honest taxpay and move her home amethi you rightli point out
21,,Lolz priyankagandhi vadra very much lives in a govt bungalow Please do elaborate in what capacity As for 10 JP Sonia Gandhi has occupied it for 2 decades mate and the GOI has had to write off the lavish property since the Gandhi family assumes all GOI property as their own,lolz priyankagandhi vadra veri much live govt bungalow pleas elabor what capac for sonia gandhi ha occupi for decad mate and the goi ha had write off the lavish properti sinc the gandhi famili assum all goi properti their own
22,,Ismai koi do ray nahi,ismai koi ray nahi
23,,And since you know RahulGandhi and priyankagandhi homes so well you should definitely demand of them to develop their home at least after all these decades All the best,and sinc you know rahulgandhi and priyankagandhi home well you should definit demand them develop their home least after all these decad all the best
24,,Had Imran Khan taken Rahul Gandhi or Congress partys name instead of BJPs these bhakt Chowkidars would have blown their asses by shouting CONGRESS MURDABAAD amp ANTINATIONAL CONGRESS but ab to khud papa ka naam Lia hai chup chap sehna padega inko at Iffco Colony,had imran khan taken rahul gandhi congress parti name instead bjp these bhakt chowkidar would have blown their ass shout congress murdabaad amp antin congress but khud papa naam lia hai chup chap sehna padega inko iffco coloni
25,,Maternal Greatgrandpa of grandson u are accusing of beneficiary of corrupt money was 1st CM of Bharath to ensure property rights to women 20 yrs later SC ensured same for all Bharath Fun to rant on SM dont teach your kids wrong history Research Internet cheapest in Bharath,matern greatgrandpa grandson are accus beneficiari corrupt money wa bharath ensur properti right women yr later ensur same for all bharath fun rant dont teach your kid wrong histori research internet cheapest bharath
26,,In parliament debate we saw you was busy in blinking eyes Why you did not debate in the house if you was so much interested in debate,parliament debat saw you wa busi blink eye whi you did not debat the hous you wa much interest debat
27,,Learn to respect Chowkidar,learn respect chowkidar
28,,It is my firm conviction that the continuance of government led by narendramodi ji is the need of the hour Besides when challenges like terrorism are before all of us we need a #MajbootSarkar not a #MajboorSarkar #NamoAgain,firm convict that the continu govern led narendramodi the need the hour besid when challeng like terror are befor all need #majbootsarkar not #majboorsarkar #namoagain
29,,You do realise each of their homes are in New Delhifunded by our taxpayer money for no reason legitimate reasonBut good for youyou seem to know RahulGandhi amp priyankagandhi personallyMaybe they will spare a wee bit of personal wealth to develop Amethi on your request,you realis each their home are new delhifund our taxpay money for reason legitim reasonbut good for youyou seem know rahulgandhi amp priyankagandhi personallymayb they will spare wee bit person wealth develop amethi your request
30,,Vote to be #Congress NakulKNath Win to in Member of Parliment to #Chhindwara BeingSalmanKhan OfficeOfKNath RahulGandhi INCMP INCIndia priyankagandhi #AbkiBaarCongressSarkar,vote #congress nakulknath win member parliment #chhindwara beingsalmankhan officeofknath rahulgandhi incmp incindia priyankagandhi #abkibaarcongresssarkar
31,,yadavakhilesh Mayawati RahulGandhi thewirehindi samajwadiparty ANI PMOIndia ravishndtv abhisarsharma myogiadityanath dilipmandal kpmaurya1 ramapatishastri OmPrakashRajbh6,yadavakhilesh mayawati rahulgandhi thewirehindi samajwadiparti ani pmoindia ravishndtv abhisarsharma myogiadityanath dilipmand kpmaurya ramapatishastri omprakashrajbh
32,,In Congress karyakarta trying to save a dynasty of Gandhi familyRahulGandhi priyankagandhi Whereas in BJP4India Karyakarta trying to save our country from #corruption and nepotism #AayegaTohModiHi amitmalviya dpradhanbjp,congress karyakarta tri save dynasti gandhi familyrahulgandhi priyankagandhi wherea bjp india karyakarta tri save our countri from #corrupt and nepot #aayegatohmodihi amitmalviya dpradhanbjp
33,,RahulGandhi #Stupiditypersonified Rahul celebrating that SC has accepted that there was corruption in Rafale is just as stupid like Rahul Gandhi amp Sonia Gandhi claiming that we are not guilty in the NJL Scam hence we got bail,rahulgandhi #stupiditypersonifi rahul celebr that ha accept that there wa corrupt rafal just stupid like rahul gandhi amp sonia gandhi claim that are not guilti the njl scam henc got bail
34,,Par Gogoi bhi toh piddi hai bhonsdiwala,par gogoi bhi toh piddi hai bhonsdiwala
35,,Trotting the #Rafale linehe shouldve learnt some geometrydid he reallyIts tempting to challenge the oddbod RahulGandhi to a sub junior linedrawing competition Would he be able to draw Two Parallel Lines correctly without hinthelptheft one wonders #offLineWeirdo,trot the #rafal lineh shouldv learnt some geometrydid reallyit tempt challeng the oddbod rahulgandhi sub junior linedraw competit would abl draw two parallel line correctli without hinthelptheft one wonder #offlineweirdo
